layer,position,condition,list_index,vocabulary_rank,token_id,token,log_probability,probability,residual_delta_norm,relative_residual_delta_norm,clean_edited_cosine
31,16,edited,2,4,1115, es,-5.844916820526123,0.002894575474783778,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,edited,3,6,503, s,-6.126166820526123,0.002184940269216895,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,edited,4,7,20871, llam,-6.157416820526123,0.002117716707289219,41963.94140625,0.7243986529118546,0.7939497828483582
31,16,edited,5,8,40821, Lands,-6.251166820526123,0.0019282029243186116,41963.94140625,0.7243986529118546,0.7939497828483582
32,16,clean,1,1,32261, spider,-0.00012659224739763886,0.9998733997344971,43175.21484375,0.704979203382822,0.7849030494689941
32,16,clean,2,2,16368, insect,-10.000126838684082,4.5394172047963366e-05,43175.21484375,0.704979203382822,0.7849030494689941
32,16,clean,3,3,40046, Spider,-10.250126838684082,3.5353015846339986e-05,43175.21484375,0.704979203382822,0.7849030494689941
32,16,clean,4,4,90707, beetle,-10.875126838684082,1.8923106836155057e-05,43175.21484375,0.704979203382822,0.7849030494689941
32,16,clean,5,5,43695, crab,-11.625126838684082,8.938642167777289e-06,43175.21484375,0.704979203382822,0.7849030494689941
32,16,edited,1,1,20871, llam,-5.465042591094971,0.004232160747051239,43175.21484375,0.704979203382822,0.7849030494689941
32,16,edited,2,2,78948, legge,-5.465042591094971,0.004232160747051239,43175.21484375,0.704979203382822,0.7849030494689941
32,16,edited,3,3,1115, es,-5.902542591094971,0.002732488326728344,43175.21484375,0.704979203382822,0.7849030494689941
32,16,edited,4,4,149516,insta,-6.277542591094971,0.0018780099926516414,43175.21484375,0.704979203382822,0.7849030494689941
32,16,edited,5,5,87438, embarrassment,-6.277542591094971,0.0018780099926516414,43175.21484375,0.704979203382822,0.7849030494689941
33,16,clean,1,1,32261, spider,-7.152301259338856e-05,0.9999284744262695,70204.828125,1.8102509773728146,0.8159788250923157
33,16,clean,2,2,40046, Spider,-10.25007152557373,3.53549730789382e-05,70204.828125,1.8102509773728146,0.8159788250923157
33,16,clean,3,3,16368, insect,-11.25007152557373,1.300636722589843e-05,70204.828125,1.8102509773728146,0.8159788250923157
33,16,clean,4,4,134588, arach,-12.12507152557373,5.421860350907082e-06,70204.828125,1.8102509773728146,0.8159788250923157
33,16,clean,5,5,90707, beetle,-12.12507152557373,5.421860350907082e-06,70204.828125,1.8102509773728146,0.8159788250923157
33,16,edited,1,2,1115, es,-6.254452228546143,0.0019218784291297197,70204.828125,1.8102509773728146,0.8159788250923157
33,16,edited,2,3,679,og,-7.254452228546143,0.0007070195861160755,70204.828125,1.8102509773728146,0.8159788250923157
33,16,edited,3,4,517, f,-7.754452228546143,0.00042882905108854175,70204.828125,1.8102509773728146,0.8159788250923157
33,16,edited,4,6,569, de,-8.129451751708984,0.00029472974711097777,70204.828125,1.8102509773728146,0.8159788250923157
33,16,edited,5,7,538, n,-8.629451751708984,0.00017876262427307665,70204.828125,1.8102509773728146,0.8159788250923157
